form	lemma	POS	morph
༄༅། །		PUNCT
ངེས་དོན་	ངེས་དོན་	NOUN
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
ཁྲིད་	ཁྲིད་	VERB
རིམ་	རིམ་	NOUN
གསལ་བྱེད་	གསལ་བྱེད་	NOUN
དེ་བཞིན་ཉིད་	དེ་བཞིན་ཉིད་	NOUN
ཀྱི་	གི་	PART
རང་ཞལ་	རང་ཞལ་	OTHER
མངོན་སུམ་	མངོན་སུམ་	NOUN
སྣང་བ་	སྣང་བ་	VERB
འི་	གི་	PART
མེ་ལོང་	མེ་ལོང་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	སོ་	PART
། །		PUNCT
		
༄༅། །		PUNCT
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
བླ་མ་	བླ་མ་	NOUN
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	ADP
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	ལོ་	NOUN
། །		PUNCT
ཆོས་ཅན་	ཆོས་ཅན་	NOUN
རྣམ་ཀུན་	རྣམ་ཀུན་	NO_POS
ཆོས་ཉིད་	ཆོས་ཉིད་	NOUN
བདེ་བ་	བདེ་བ་	VERB
ཆེ་	ཆེ་	VERB
ར་	ལ་	PART
། །		PUNCT
མངོན་པ་	མངོན་པ་	OTHER
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
དོན་	དོན་	NOUN
གཅིག་	གཅིག་	NUM
གཟིགས་	གཟིགས་	VERB
ཉིད་	ཉིད་	DET
ཀྱིས་	གིས་	PART
། །		PUNCT
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་པ་	མཁྱེན་པ་	VERB
འི་	གི་	PART
ས་	ས་	ADP
ལ་	ལ་	ADP
མངའ་	མངའ་	VERB
མཛད་པ་	མཛད་པ་	VERB
། །		PUNCT
དོན་	དོན་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
ཚོགས་	ཚོགས་	NOUN
རྣམས་	རྣམས་	DET
ཕྱག་	ཕྱག་	NOUN
གི་	གི་	PART
གནས་	གནས་	NOUN
། །		PUNCT
གང་	གང་	NO_POS
རྣམས་	རྣམས་	DET
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
ཆུ་བོ་	ཆུ་བོ་	NOUN
འི་	གི་	PART
རྒྱུན་	རྒྱུན་	NOUN
། །		PUNCT
མ་	མ་	PART
ཉམས་	ཉམས་	NOUN
གདམས་པ་	གདམས་པ་	VERB
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
མཚོ་	མཚོ་	NOUN
ར་	ལ་	PART
། །		PUNCT
སྐལ་བཟང་	སྐལ་བཟང་	OTHER
ངང་	ངང་	NOUN
མོ་	མོ་	PRON
རྣམ་	རྣམ་	NOUN
རྩེན་	རྩེན་	NO_POS
ལ་	ལ་	ADP
། །		PUNCT
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
སྟོན་ཀ་	སྟོན་ཀ་	NOUN
འི་	གི་	PART
དུས་བཟང་	དུས་བཟང་	NOUN
སྦྱིན་	སྦྱིན་	VERB
། །		PUNCT
འདི་	འདི་	DET
ར་	ལ་	PART
མདོ་	མདོ་	NOUN
རྒྱུད་	རྒྱུད་	NOUN
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
ངེས་གནས་	ངེས་གནས་	PROPN
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ལྷན་ཅིག་	ལྷན་ཅིག་	OTHER
སྐྱེ་	སྐྱེ་	VERB
སྦྱོར་	སྦྱོར་	VERB
གྱི་	གི་	PART
ཁྲིད་ཡིག་	ཁྲིད་ཡིག་	NOUN
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
རྫོགས་པ་	རྫོགས་པ་	VERB
འི་	གི་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
པདྨ་	པདྨ་	NOUN
དཀར་པོ་	དཀར་པོ་	ADJ
འི་	གི་	PART
གསུང་	གསུང་	VERB
གསང་	གསང་	VERB
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
དངོས་གཞི་	དངོས་གཞི་	NOUN
འི་	གི་	PART
ཚོམས་	ཚོམས་	NOUN
དང་	དང་	NO_POS
རྗེས་སུ་	རྗེས་སུ་	OTHER
མཐུན་པ་	མཐུན་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
ཅུང་ཟད་	ཅུང་ཟད་	ADV
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
སྤེལ་བ་	སྤེལ་བ་	VERB
ཞིག་	ཅིག་	PART
འགོད་པ་	འགོད་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དེ་	དེ་	DET
ལ་	ལ་	ADP
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
དངོས་གཞི་	དངོས་གཞི་	NOUN
རྗེས་	རྗེས་	NOUN
གསུམ་	གསུམ་	NUM
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
ལ་	ལ་	ADP
།		PUNCT
ཆོ་	ཆོ་	NOUN
ཉན་པ་	ཉན་པ་	VERB
འི་	གི་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
ཁུངས་	ཁུངས་	NOUN
དང་	དང་	NO_POS
ལོ་རྒྱུས་	ལོ་རྒྱུས་	NOUN
སོགས་	སོགས་	DET
བསྟན་	བསྟན་	VERB
ན་	ནས་	PART
ངེས་པ་	ངེས་པ་	VERB
བསྐྱེད་པ་	བསྐྱེད་པ་	VERB
།		PUNCT
ཐུན་མོང་	ཐུན་མོང་	ADJ
གི་	གི་	PART
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
ས་	གིས་	PART
རྒྱུད་	རྒྱུད་	NOUN
སྦྱང་བ་	སྦྱང་བ་	VERB
།		PUNCT
ཐུན་མོང་	ཐུན་མོང་	ADJ
མ་ཡིན་པ་	མ་ཡིན་པ་	OTHER
དབེན་པ་	དབེན་པ་	VERB
གསུམ་	གསུམ་	NUM
སྟོན་པ་	སྟོན་པ་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
ནི་	ནི་	NO_POS
།		PUNCT
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
པདྨ་	པདྨ་	NOUN
དཀར་པོ་	དཀར་པོ་	ADJ
ལ་	ལ་	ADP
ས་	གིས་	PART
། །		PUNCT
གཙང་	གཙང་	PROPN
ཞིང་	ཞིང་	SCONJ
ཡིད་	ཡིད་	NOUN
དུ་	ལ་	PART
འོང་བ་	འོང་བ་	VERB
འི་	གི་	PART
ས་ཕྱོགས་	ས་ཕྱོགས་	NOUN
སུ་	སུ་	ADP
། །		PUNCT
ཡངས་པ་	ཡངས་པ་	ADJ
འི་	གི་	PART
སྟན་	སྟན་	NOUN
ནི་	ནི་	NO_POS
རབ་ཏུ་	རབ་ཏུ་	NO_POS
བཤམས་	བཤམས་	NO_POS
བཏིང་	བཏིང་	VERB
སྟེ་	སྟེ་	PART
། །		PUNCT
བཟང་པོ་	བཟང་པོ་	ADJ
འི་	གི་	PART
ཚོན་	ཚོན་	NOUN
གྱིས་	གིས་	PART
ལེགས་པ་	ལེགས་པ་	VERB
ར་	ལ་	PART
ཁ་	ཁ་	PRON
བསྒྱུར་པ་	བསྒྱུར་པ་	VERB
འི་	གི་	PART
། །		PUNCT
ཆོས་གོས་	ཆོས་གོས་	NOUN
གཙང་མ་	གཙང་མ་	ADJ
དེ་	དེ་	DET
ནི་	ནི་	NO_POS
རབ་	རབ་	ADV
བགོས་	བགོས་	VERB
ན་	ནས་	PART
།		PUNCT
ཞེས་་	ཞེས་པ་	PART
ལྟ་	ལྟ་	OTHER
དང་	དང་	NO_POS
།		PUNCT
དེ་ཉིད་	དེ་ཉིད་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
གདོང་	གདོང་	NOUN
དང་	དང་	NO_POS
བཞིན་	བཞིན་	NOUN
གྱི་	གི་	PART
མདངས་	མདངས་	NOUN
ནི་	ནི་	NO_POS
རབ་	རབ་	ADV
སྣུམ་	སྣུམ་	NOUN
ཞིང་	ཞིང་	ADP
། །		PUNCT
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
སྟན་	སྟན་	NOUN
ལ་	ལ་	ADP
དེ་	དེ་	DET
ནི་	ནི་	NO_POS
རབ་	རབ་	ADV
འདུག་	འདུག་	VERB
ན་	ནས་	PART
། །		PUNCT
སེམས་ཅན་	སེམས་ཅན་	NOUN
ལྷགས་པ་	ལྷགས་པ་	VERB
རྩེ་གཅིག་	རྩེ་གཅིག་	ADJ
གྱུར་	གྱུར་	VERB
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
། །		PUNCT
གཏམ་	གཏམ་	NOUN
མང་	མང་	VERB
རྣམ་པ་	རྣམ་པ་	NOUN
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
ཉེ་བ་		
སྟོན་	སྟོན་	VERB
། །		PUNCT
ལེ་ལོ་	ལེ་ལོ་	NOUN
དག་	དག་	DET
ཀྱང་	ཀྱང་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
རབ་	རབ་	ADV
སྤངས་	སྤངས་	VERB
ན་	ནས་	PART
། །		PUNCT
སྐྱོ་བ་	སྐྱོ་བ་	VERB
འི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
འི་	གི་	PART
འདུ་ཤེས་	འདུ་ཤེས་	NOUN
བསྐྱེད་	བསྐྱེད་	VERB
མི་	མི་	PART
བྱ་	བྱ་	VERB
། །		PUNCT
མཁས་པ་	མཁས་པ་	VERB
མི་	མི་	PART
དགའ་	དགའ་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
སྤངས་	སྤངས་	VERB
། །		PUNCT
བྱམས་པ་	བྱམས་པ་	PROPN
འི་	གི་	PART
སྟོབས་	སྟོབས་	NOUN
ནི་	ནི་	NO_POS
འཁོར་	འཁོར་	NOUN
ལ་	ལ་	ADP
བསྒོམ་པ་	བསྒོམ་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
། །		PUNCT
ཞེས་་	ཞེས་པ་	PART
འི་	གི་	PART
དོན་	དོན་	NOUN
བཞིན་	བཞིན་	NOUN
སྐྱོ་དུབ་	སྐྱོ་དུབ་	NO_POS
